room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_WORKSPACE,SYSTEM_EV_CHARGER,SYSTEM_VIEW_OCEAN,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_FIREPIT,SYSTEM_LUGGAGE_DROP,SYSTEM_CALENDAR,SYSTEM_POOL,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TV,SYSTEM_REFRIGERATOR,SYSTEM_BREAKFAST,SYSTEM_PATIO_BALCONY,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_TOYS,SYSTEM_ELEVATOR,SYSTEM_GYM,SYSTEM_MICROWAVE,SYSTEM_BATHTUB,SYSTEM_HIGH_CHAIR,SYSTEM_PIANO
25919030,https://www.airbnb.com.vn/rooms/25919030,"4,97",Phong Nha,9,17.59602,106.29162,REGULAR,,Sống cùng gia đình bản xứ ở Thung lũng nhiệt đới - Phòng đôi Bungalow,entire_home,32,,,,False,,/ đêm,,,2.0,,,True,True,True,True,True,,False,False,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,
38329679,https://www.airbnb.com.vn/rooms/38329679,"4,88",Bố Trạch District,28,17.60556,106.30048,REGULAR,,Phòng đôi Phong Nha Friendly Home- Mountain View,private_room,8,False,True,4,False,,/ đêm,,,2.0,True,,,True,True,,,,False,False,,True,,,True,,True,,,True,,,,,,,True,,,,,,,,,,,
22257254,https://www.airbnb.com.vn/rooms/22257254,"5,0",Sơn Trạch,30,17.609,106.30895,REGULAR,,Phòng suite sang trọng Queen Corner tại Thảo Nguyên Homestay,private_room,20,,,,False,,/ đêm,570.589,₫570.589,2.0,,,True,True,True,True,True,,False,,,,,,,True,True,,,,,True,,True,,,,,,,,,,,,,,
38180135,https://www.airbnb.com.vn/rooms/38180135,"4,5",Bố Trạch District,29,17.60216,106.32767,REGULAR,,Family Bungalow bên hồ ở Phong Nha,private_room,6,False,True,10,False,,/ đêm,630.000,₫630.000,5.0,,,True,True,True,True,True,,False,False,,,,,,True,,,,,,True,,,,,,False,,,,,,,,,,
30071390,https://www.airbnb.com.vn/rooms/30071390,"4,9",Bố Trạch District,29,17.59078,106.28339,REGULAR,,Phòng đôi Sống cùng gia đình bản xứ quyến rũ,private_room,70,,,,False,,/ đêm,570.589,₫570.589,2.0,,,,True,True,True,,,False,False,,,,,True,,True,True,,,,,,,,True,,,True,,,,,,,,,
28345864,https://www.airbnb.com.vn/rooms/28345864,"5,0",Bố Trạch District,30,17.61004,106.30257,REGULAR,,"Phòng gia đình có tầm nhìn ra sông, ban công",private_room,30,True,True,5,False,,/ đêm,479.294,₫479.294,4.0,True,True,,True,True,True,,,False,False,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,
877034904947588706,https://www.airbnb.com.vn/rooms/877034904947588706,,Quang Binh Province,22,17.58122444152832,106.2830810546875,REGULAR,,-30% Double Room Mountain View,private_room,,False,True,,False,,/ đêm,,,2.0,True,,,,,True,,,False,,,,,,,,,True,,,,,,True,,,,,,True,True,,,,,,,
17149689,https://www.airbnb.com.vn/rooms/17149689,"4,86",Bố Trạch District,30,17.59184,106.2839,REGULAR,,Nhà Phong Nha CoCo - Một Homestay mới tại Phong Nha,private_room,127,False,True,6,False,,/ đêm,673.294,₫673.294,4.0,True,,,True,,True,,,False,False,,,True,,,,True,True,,,,,,,,True,True,,,,,,,,,,,
31275499,https://www.airbnb.com.vn/rooms/31275499,,Bố Trạch District,27,17.61752,106.32405,REGULAR,,Hung Phat Bungalow,private_room,,,,,False,,/ đêm,568.306,₫568.306,2.0,,,True,True,True,True,True,,False,False,,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,
14731277,https://www.airbnb.com.vn/rooms/14731277,"4,5",tp. Đồng Hới,17,17.47991,106.62463,REGULAR,,"Au Lac - Phòng đẹp ở bờ sông, 68 Đông Hải",private_room,6,,,,False,,/ đêm,328.659,₫328.659,2.0,,,True,True,True,,True,,,,,,,,True,,True,True,,True,True,,,,,,True,,,,,,,,,,,
713648007263558147,https://www.airbnb.com.vn/rooms/713648007263558147,"4,6",Thành phố Đồng Hới,7,17.476736965829254,106.62341315299273,REGULAR,,Phòng ấm cúng tại Dolphin Home,private_room,5,True,True,5,False,,/ đêm,273.882,₫273.882,2.0,True,,,True,True,,,True,False,False,,,,,,,True,,,True,,,,,,,True,,,,,True,,,,,,
869477862873833835,https://www.airbnb.com.vn/rooms/869477862873833835,,Quang Binh Province,22,17.58122444152832,106.2830810546875,REGULAR,,-30% Lovely Double Room Mountain View Free,private_room,,,,,False,,/ đêm,,,2.0,,,True,True,True,True,True,True,False,,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,,
804247735953929160,https://www.airbnb.com.vn/rooms/804247735953929160,"5,0",Bố Trạch,12,17.61039,106.30882,REGULAR,,Homestay đáng nhớ - Phòng đôi với tầm nhìn ra sông,private_room,3,False,True,3,False,,/ đêm,570.679,₫570.679,2.0,,,True,True,True,,,True,False,False,,,True,,True,,,,,,,,True,,,,,False,,,,,,,,,,
644355348894227046,https://www.airbnb.com.vn/rooms/644355348894227046,"4,33",Sơn Trạch,30,17.5983073,106.2948773,REGULAR,,Gorgeous container mountain  river  balcony,private_room,6,False,True,4,False,,/ đêm,612.812,₫612.812,4.0,True,,True,True,True,True,True,,False,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,
36120103,https://www.airbnb.com.vn/rooms/36120103,"4,89",Sơn Trạch,20,17.61016,106.30277,REGULAR,,Gia đình bản xứ Lá Nhỏ xinh đẹp nhìn ra sông,private_room,27,False,True,4,False,,/ đêm,570.589,₫570.589,2.0,True,,True,True,True,True,,,False,False,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,
746115725331220346,https://www.airbnb.com.vn/rooms/746115725331220346,,Bố Trạch District,30,17.58198,106.28249,REGULAR,,Ban công phòng đôi cao cấp - An Bungalow,private_room,,True,True,,False,,/ đêm,399.412,₫399.412,2.0,True,True,True,True,True,True,True,,False,False,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
33539893,https://www.airbnb.com.vn/rooms/33539893,"5,0",Bố Trạch District,27,17.59174,106.28278,REGULAR,,"Phòng giường đôi nhìn ra vườn, homestay SÔNG NÚI",private_room,5,True,True,5,False,,/ đêm,285.294,₫285.294,2.0,True,True,True,True,True,True,,,False,False,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,
864019707876359815,https://www.airbnb.com.vn/rooms/864019707876359815,,Quang Binh Province,22,17.58122444152832,106.2830810546875,REGULAR,,-30% Deluxe Twin Room Mountain View Free Breakfast,private_room,1,False,True,4,False,,/ đêm,,,4.0,,,True,True,True,,,True,False,False,True,True,True,,,,,,,,,,,,,,,False,,,,,,,,,,
892970801515110144,https://www.airbnb.com.vn/rooms/892970801515110144,,Đồng Hới,7,17.48289,106.62492,REGULAR,,Pi house luôn sẵn sàng phục vụ,private_room,,,,,False,,/ đêm,,,2.0,,True,True,True,True,True,,True,False,False,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,
38868731,https://www.airbnb.com.vn/rooms/38868731,,,30,17.60731,106.29986,REGULAR,,Green Riverside Cosy Home - Phòng Chung,shared_room,,,,,False,,/ đêm,267.650,₫267.650,1.0,,,True,True,True,True,True,,False,False,,,,,True,,True,,,True,,,,,,,,,,,,,,,,,,
31242112,https://www.airbnb.com.vn/rooms/31242112,"4,95",Bố Trạch District,30,17.59048,106.28388,REGULAR,,Phong Nha-Tuan Garden House,private_room,20,,,,False,,/ đêm,456.471,₫456.471,2.0,,,,True,True,True,,,False,,,,,,True,True,True,,,True,,True,,,,,True,,,,,,,,,,,
34767611,https://www.airbnb.com.vn/rooms/34767611,"4,86",Thành phố Đồng Hới,22,17.47562,106.60177,REGULAR,,LeLa Hostel - 1 Bedroom - Bathroom outside,private_room,7,,,,False,,/ đêm,456.471,₫456.471,2.0,,,True,True,,,True,,False,False,,True,True,,,,True,,,True,,,,,,,True,,,,,,,,,,,
37466203,https://www.airbnb.com.vn/rooms/37466203,,Bố Trạch District,30,17.59174,106.28269,REGULAR,,Phong Nha yêu sống cùng gia đình bản xứ,private_room,,,,,False,,/ đêm,,,2.0,,,True,True,True,,True,,False,False,,,,,,,True,,,,,True,,,,,True,,,True,,,,,,,,
32856208,https://www.airbnb.com.vn/rooms/32856208,"4,8",Bố Trạch District,21,17.597593307495117,106.29293823242188,REGULAR,,phong  nha giá tốt homestay,private_room,10,False,True,5,False,,/ đêm,319.530,₫319.530,3.0,,,True,True,True,True,,True,False,,,True,True,,True,,,,,,,,,,,,,False,,,,,,,,,,
814044767802034790,https://www.airbnb.com.vn/rooms/814044767802034790,,Quảng Trường,8,17.74505,106.43646,REGULAR,,Countryside  45 KM Phong Nha  .,entire_home,,,,,False,,/ đêm,640.661,₫640.661,4.0,,True,True,True,True,True,,True,False,False,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
24108982,https://www.airbnb.com.vn/rooms/24108982,"4,96",Phong Nha,30,17.59973,106.29286,REGULAR,,Carambola Bungalow dành cho gia đình có cảnh nhìn ra núi,private_room,25,True,True,5,False,,/ đêm,485.744,₫485.744,5.0,True,,,True,True,,,,False,False,,True,True,,True,,,,,,,,,,,,,,,True,,,,,,,,
29091126,https://www.airbnb.com.vn/rooms/29091126,"4,17",,30,17.60636,106.30196,REGULAR,,Nhà ấm cúng Green Riverside - Phòng đơn,private_room,6,False,True,5,False,,/ đêm,401.495,₫401.495,1.0,True,,True,True,True,True,True,,False,False,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
29325878,https://www.airbnb.com.vn/rooms/29325878,"4,73",Bố Trạch,30,17.60167,106.32822,REGULAR,,Bungalow bên hồ ở Phong Nha,private_room,15,False,True,10,False,,/ đêm,620.000,₫620.000,3.0,True,,,True,True,True,,,,,,,,,True,,True,True,,,,True,,,,True,,,,,True,,,,,,,
32595928,https://www.airbnb.com.vn/rooms/32595928,,Bố Trạch District,7,17.60181,106.30295,REGULAR,,Phòng đôi ấm cúng Tien 'Homestay,private_room,2,False,True,4,False,,/ đêm,254.768,₫254.768,2.0,True,,,True,True,True,True,,False,False,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
48272688,https://www.airbnb.com.vn/rooms/48272688,,Bố Trạch District,29,17.62188,106.31278,REGULAR,,The Hill Villa,private_room,,,,,False,,/ đêm,513.530,₫513.530,16.0,,,True,True,True,True,True,,False,False,,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,
29092166,https://www.airbnb.com.vn/rooms/29092166,"5,0",,30,17.60609,106.30178,REGULAR,,Nhà Cosy Green Riverside - Phòng ba sang trọng,private_room,9,False,True,5,False,,/ đêm,535.311,₫535.311,3.0,True,,True,True,True,True,True,,False,False,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,
39927352,https://www.airbnb.com.vn/rooms/39927352,"4,6",Thành phố Đồng Hới,19,17.49459,106.62651,REGULAR,,Seasand Homestay_Phòng riêng 2 pax Quảng Bình quan,private_room,5,,,,False,,/ đêm,373.410,₫373.410,2.0,,,,True,True,True,,,False,False,,True,,,True,,,True,,,,,,True,,,True,,,,,,,,,,,
19711180,https://www.airbnb.com.vn/rooms/19711180,"4,72",Sơn Trạch,9,17.61173,106.30819,REGULAR,,SON TINH HOTEL - Phong Nha,private_room,50,,,,False,,/ đêm,342.353,₫342.353,2.0,,,,,,,,,False,False,,True,,,,,True,True,,,,,,True,,,,,,,True,,,,,,,
41888757,https://www.airbnb.com.vn/rooms/41888757,,Bố Trạch District,4,17.59007,106.2845,REGULAR,,Phòng Homestay Dulexe ấm cúng của Tiến,private_room,1,False,True,4,False,,/ đêm,263.247,₫263.247,2.0,True,,True,True,True,,,True,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
31247316,https://www.airbnb.com.vn/rooms/31247316,"5,0",Bố Trạch District,30,17.61647,106.32304,REGULAR,,Bungalow Hưng Phát,private_room,6,True,True,4,False,,/ đêm,,,2.0,,,True,True,True,,,,False,False,,True,True,,,,,,,,,True,True,,,,,False,,,,,,,,,,
765140983739826058,https://www.airbnb.com.vn/rooms/765140983739826058,,,8,17.60397,106.30095,REGULAR,,Phòng đôi có hồ bơi veiw-phong nha Ecolodge,private_room,2,False,True,10,False,,/ đêm,340.760,₫340.760,2.0,True,,True,True,,,,True,False,False,,True,True,,True,,,,,,,,True,,,,,,,,,,,,,,,
648010593019201024,https://www.airbnb.com.vn/rooms/648010593019201024,,Sơn Trạch,24,17.59731,106.29376,REGULAR,,Beautiful shipping container overlooking river,private_room,,False,True,,False,,/ đêm,,,4.0,True,,True,True,True,True,,,False,,,,True,,True,,,,,,,True,True,,,,,,,,,,,,,,,
34910037,https://www.airbnb.com.vn/rooms/34910037,,Đồng Hới,23,17.47442,106.60205,REGULAR,,Lela Hostel -1 Bedroom- bathroom inside,private_room,,,,,False,,/ đêm,661.883,₫661.883,2.0,,,True,True,,,True,True,False,False,,True,,,,,True,,,,,,,,,,True,,,,,,,,,,,
22210511,https://www.airbnb.com.vn/rooms/22210511,,,20,17.60996,106.30982,REGULAR,,Phòng Double Queen tại Thảo Nguyên Homestay,hotel_room,,,,,False,,/ đêm,798.824,₫798.824,4.0,,,True,True,True,,True,,False,,,,,,,True,True,,,,,True,,True,,,True,,,,,,,,,,,
18198226,https://www.airbnb.com.vn/rooms/18198226,"4,75",,30,17.60944,106.3023,REGULAR,,Green Riverside Cosy Home - Phòng đôi sang trọng,private_room,24,,,,False,,/ đêm,669.159,₫669.159,2.0,,,,True,True,True,True,,,,,True,,,True,True,True,,,,,,,True,,,,,,True,,,,,,,,
31321531,https://www.airbnb.com.vn/rooms/31321531,,Bố Trạch District,23,17.61637,106.3225,REGULAR,,Bungalow Hưng Phát,private_room,2,True,True,4,False,,/ đêm,500.977,₫500.977,2.0,True,,True,True,True,True,True,,False,False,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,
33789441,https://www.airbnb.com.vn/rooms/33789441,"4,86",Bố Trạch District,30,17.58991,106.28307,REGULAR,,Phòng giường đôi view SÔNG NÚI ĐẸP,private_room,7,True,True,5,False,,/ đêm,399.412,₫399.412,4.0,True,True,,True,True,True,,,False,False,,,,,,,True,,,True,,,,,,,True,,,,,,,,,,,
23633047,https://www.airbnb.com.vn/rooms/23633047,"4,58",Phong Nha,20,17.59618,106.28998,REGULAR,,Khách sạn Hang En - Phòng đôi ngắm núi,private_room,31,,,,False,,/ đêm,,,2.0,,,,True,True,True,True,,False,,,,,,,,True,,,True,True,,,True,,True,,,,,,,,,,,,
746139667426297705,https://www.airbnb.com.vn/rooms/746139667426297705,,Bố Trạch District,30,17.5807,106.28255,REGULAR,,Bungalow_2 giường Queen Mountain view_Anan bungalow,private_room,,True,True,,False,,/ đêm,399.412,₫399.412,4.0,True,True,True,True,True,True,True,,False,False,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
35458384,https://www.airbnb.com.vn/rooms/35458384,"3,33",Đồng Hới,12,17.46495,106.5973,REGULAR,,Giường Queen size tại Royal Building,entire_home,3,,,,False,,/ đêm,836.000,₫836.000,2.0,,,,True,True,,,,False,,,,,,,,True,True,,,,True,,True,,,,,True,True,,,True,,,,,
25865054,https://www.airbnb.com.vn/rooms/25865054,"4,63",Phong Nha,12,17.59935,106.29156,REGULAR,,Thung lũng nhiệt đới - 1 giường queen - cảnh núi,private_room,16,,,,False,,/ đêm,,,2.0,,,True,True,True,True,True,,False,False,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,
18532867,https://www.airbnb.com.vn/rooms/18532867,"4,0",Thành phố Đồng Hới,30,17.5042,106.60452,REGULAR,,Đồng Hới The Paddy Shack - Nhà nghỉ mới tại địa phương,entire_home,3,,,,False,,/ đêm,1.711,₫1.711.766,6.0,,,True,True,True,True,True,,False,False,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,
27798903,https://www.airbnb.com.vn/rooms/27798903,,Bố Trạch,30,17.59579,106.294,REGULAR,,Sunshine Homestay-Quiet place to stay,private_room,1,False,True,5,False,,/ đêm,444.323,₫444.323,2.0,True,,True,True,True,True,,True,False,False,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
689430735649912357,https://www.airbnb.com.vn/rooms/689430735649912357,"4,33",Sơn Trạch,16,17.6117,106.30952,REGULAR,,Green Homestay - Family room Moutain and Pool View,private_room,3,False,True,9,False,,/ đêm,1.095,₫1.095.529,6.0,,,True,True,True,,,True,False,False,True,True,True,,,,,,,,,,,,,,,False,,,,,,,,,,
27434923,https://www.airbnb.com.vn/rooms/27434923,"4,62",Bố Trạch,11,17.59671,106.28989,REGULAR,,POMELO HOMESTAY- Phòng ba với hồ bơi,private_room,22,,,,False,,/ đêm,,,3.0,,,True,True,True,True,,,False,,,,,,True,True,True,,,,,,,,,,True,,,True,,,,,,,,
34429074,https://www.airbnb.com.vn/rooms/34429074,,Bố Trạch District,30,17.59767,106.29146,REGULAR,,Khung cảnh núi Bungalow - Giường đôi,private_room,2,False,True,4,False,,/ đêm,401.495,₫401.495,2.0,True,,True,True,True,True,,,False,False,,,,,,,True,True,,,,,,,,,,,True,,,,,,,,,
33944222,https://www.airbnb.com.vn/rooms/33944222,,Bố Trạch District,30,17.58967,106.28425,REGULAR,,Hahaland 4 Giường chung (1),shared_room,,,,,False,,/ đêm,79.882,₫79.882,1.0,,,,True,True,True,,,False,False,,True,,,True,,True,,,,,,,,,,True,,,True,,,,,,,,
37901210,https://www.airbnb.com.vn/rooms/37901210,,Bố Trạch District,10,17.61164,106.31148,REGULAR,,Qua với chế độ xem Moutain,private_room,,,,,False,,/ đêm,570.589,₫570.589,2.0,,,,True,True,True,,,False,False,,,True,,,,True,,,,,True,,True,,,True,,,,,,,,,,,
27457240,https://www.airbnb.com.vn/rooms/27457240,"4,73",Bố Trạch District,16,17.59839,106.2914,REGULAR,,POMELO HOMESTAY- Phòng đôi với Lake View,private_room,23,False,False,5,False,,/ đêm,535.327,₫535.327,2.0,True,,,True,True,True,,,False,False,,,,,,,True,True,,,,,,,,True,,,,,True,,,,,,,
34126210,https://www.airbnb.com.vn/rooms/34126210,"5,0",Bố Trạch District,27,17.591,106.28267,REGULAR,,"Phòng giường to, homestay SÔNG NÚI ĐẸP",private_room,4,True,True,5,False,,/ đêm,245.209,₫245.209,2.0,True,True,,True,True,,,,False,False,,,,,,,True,,,True,,,,,,,True,,,,,True,,,,,,
882234151110261932,https://www.airbnb.com.vn/rooms/882234151110261932,,Đồng Hới,14,17.47629,106.60075,REGULAR,,1 bedroom-bathroom inside 1.2,private_room,,False,True,,False,,/ đêm,,,2.0,True,,True,True,,,True,True,False,False,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,
32972535,https://www.airbnb.com.vn/rooms/32972535,,Bố Trạch District,22,17.61414,106.31584,REGULAR,,Phong Nha-Tuan Garden House,private_room,1,False,False,4,False,,/ đêm,513.530,₫513.530,2.0,,,,True,True,,True,,False,False,,,,,,True,True,True,,,,True,,,,,,False,,,,,,,,,,
29326147,https://www.airbnb.com.vn/rooms/29326147,,Bố Trạch,30,17.60136,106.3287,REGULAR,,Lều nhỏ ở vùng nông thôn Phong Nha,private_room,,,,,False,,/ đêm,,,2.0,,,,True,True,True,,,,,,,,,True,,True,True,,,,True,,,,True,,,,,True,,,,,,,
25008191,https://www.airbnb.com.vn/rooms/25008191,"4,95",Phong Nha,30,17.59878,106.29268,REGULAR,,Carambola Bungalow với tầm nhìn ra núi và vườn,private_room,19,True,True,5,False,,/ đêm,461.680,₫461.680,4.0,,True,True,True,True,True,,,False,,,True,True,,,,,,,,,,True,,,,,False,,,,,,,,,,
634612216043135397,https://www.airbnb.com.vn/rooms/634612216043135397,,,10,17.5043,106.2988,REGULAR,,Một phố cổ hội an thu nhỏ nằm trong phòng nha,private_room,,False,True,,False,,/ đêm,456.471,₫456.471,4.0,True,,True,True,True,True,,,False,False,,,True,,,,True,,,,,True,,,,,,,,,,,,,,,,
822763347131000105,https://www.airbnb.com.vn/rooms/822763347131000105,,Bố Trạch,15,17.61149,106.30732,REGULAR,,Phòng 1 giường nhìn ra Núi và Sông có Ban công,private_room,,False,True,,False,,/ đêm,570.589,₫570.589,2.0,,,True,True,True,True,,True,False,False,,,True,,,,,,,,,,,True,,,,False,,,,,,,,,,
37451030,https://www.airbnb.com.vn/rooms/37451030,"5,0",Bố Trạch District,30,17.59142,106.2831,REGULAR,,Carambola Bungalow,private_room,7,True,True,5,False,,/ đêm,461.680,₫461.680,5.0,True,,True,True,,,,True,False,False,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,
25863830,https://www.airbnb.com.vn/rooms/25863830,"5,0",Phong Nha,19,17.59573,106.29164,REGULAR,,Sống cùng gia đình bản xứ ở Thung lũng nhiệt đới - Phòng đôi,private_room,10,,,,False,,/ đêm,,,2.0,,,True,True,True,True,True,,False,False,,,True,,,,True,,,,,,,,,,True,,,,,,,,,,,
748981756245382827,https://www.airbnb.com.vn/rooms/748981756245382827,,Thành phố Đồng Hới,7,17.46147,106.63959,REGULAR,,phòng đơn tại Cối xay gió homestay,private_room,,False,False,,False,,/ đêm,422.235,₫422.235,2.0,,,,True,,,,True,False,False,,,,,,,True,,,,,,,,,,,False,,,,,,,,,,
26435223,https://www.airbnb.com.vn/rooms/26435223,,Sơn Trạch,25,17.5624,106.28839,REGULAR,,Sống cùng gia đình bản xứ trên cánh đồng lúa Phong Nha,private_room,,,,,False,,/ đêm,,,5.0,,,True,True,True,True,True,,False,,,,,,,True,True,,,,,True,,,,,,,True,,,,,,,,,
48048138,https://www.airbnb.com.vn/rooms/48048138,,Thành phố Đồng Hới,21,17.48334,106.62776,REGULAR,,Deluxe Room,private_room,,,,,False,,/ đêm,,,2.0,,True,True,True,True,True,,,False,False,,,,,,,True,,,,,,,True,,,True,,,,,,,,,,,
879738211781028456,https://www.airbnb.com.vn/rooms/879738211781028456,,Quận 2,23,17.02147,106.90489,REGULAR,,1- Bedroom Masteri T3 Thảo Điền Dist 2,entire_home,,,,,False,,/ đêm,708.650,₫708.650,2.0,,,True,True,True,True,,,,,,,True,True,True,,,,,,,True,,True,,,,,,,,,True,,,,,
885261110471629432,https://www.airbnb.com.vn/rooms/885261110471629432,,Đức Hòa,7,17.84121,106.15083,REGULAR,,Cheap apartment for rent,private_room,,False,True,,False,,/ đêm,,,2.0,True,,True,,True,,True,True,False,False,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,
